id,title,chanel,Total_Minutes,Total_Views,Duration_in_Seconds,video_url,Views_per_Second,Year,Quarter,Month,Day,Calculated_Views,Cluster,ClusterLabel,Decision Path
76,کهن ترنی انسان یافته شده  گرجستان (قسمت  7  از سفرنامه « دامنه کوه های قفقاز »),جستجوی ناتمام ( از میلانی ),86400,2900,800,/v/wcozl30,3.625,2025,Qtr 1,January,6,2900,0,Medium Engagement,2
77,سرانجام آخرین تزار روسیه و تشکیل اتحاد جماهیر شوروی (تاریخ شوروری),دروازه تاریخ,1440,104,1259,/v/yoc24k8,0.0826052422557585,2025,Qtr 1,March,6,104,0,Medium Engagement,2
78,زندگینامه حاج سیاح - اولین جهانگرد ایرانی که تبعیت آمریکا را پذیرفت,دروازه تاریخ,2880,258,968,/v/pxqm653,0.2665289256198347,2025,Qtr 1,March,5,258,0,Medium Engagement,2
79,چرا مسیحیت چند صد فرقه شد؟ [تاریخ مسیحیت - کاتولیک - ارتودوکس - پروتستان],دروازه تاریخ,5760,375,1268,/v/hvk0hq2,0.2957413249211356,2025,Qtr 1,March,3,375,0,Medium Engagement,2
80,روسیه چطور روسیه شد؟ (تاریخ روسیه قسمت دوم),دروازه تاریخ,7200,411,2067,/v/ixxj614,0.1988388969521045,2025,Qtr 1,March,2,411,0,Medium Engagement,2
81,تاریخ مشترک روسیه و اوکراین (قسمت اول),دروازه تاریخ,8640,413,1925,/v/jak1288,0.2145454545454545,2025,Qtr 1,March,1,413,0,Medium Engagement,2
82,سفر به روستایی منحصر به فرد در سرزمین خراسان,آوای دورها,5760,118,2294,/v/wqfc47m,0.051438535309503,2025,Qtr 1,March,3,118,0,Medium Engagement,2
83,میدونستی یکی از سه آب گرم قابل شرب جهان در ایرانه؟,آوای دورها,8640,356,1048,/v/vkexx98,0.3396946564885496,2025,Qtr 1,March,1,356,0,Medium Engagement,2
84,گشت و گذار در ماسوله,آوای دورها,10080,5400,602,/v/tro15sc,8.970099667774086,2025,Qtr 1,February,28,5400,0,Medium Engagement,2
85,بر مزار حکیم فردوسی توسی، مهدی اخوان ثالث و محمدرضا شجریان,آوای دورها,10080,1600,2508,/v/zrn1c3z,0.6379585326953748,2025,Qtr 1,February,28,1600,0,Medium Engagement,2
86,تماشای تاریخ در بازمانده های های شهر طابران,آوای دورها,20160,874,1713,/v/bag9an2,0.5102159953298308,2025,Qtr 1,February,21,874,0,Medium Engagement,2
87,پنج دریبل مخفی فوتسال,آموزش فوتبال با لئو سعید,2880,4500,707,/v/qnrw4k4,6.364922206506365,2025,Qtr 1,March,5,4500,0,Medium Engagement,2
88,تمرینات عصب عضله و سرعت پا  ( ویژه فوتبال ),آموزش فوتبال با لئو سعید,10080,13000,647,/v/fgxrx38,20.09273570324575,2025,Qtr 1,February,28,13000,0,Medium Engagement,2
89,انگیزشی ترین ویدیو فوتبالی,آموزش فوتبال با لئو سعید,30240,21900,349,/v/zdzq1w3,62.75071633237823,2025,Qtr 1,February,14,21900,0,Medium Engagement,2
90,۵ دریبل جدید ویژه بازیکنان حرفه ای,آموزش فوتبال با لئو سعید,40320,28100,483,/v/exm6m9x,58.17805383022775,2025,Qtr 1,February,7,28100,0,Medium Engagement,2
91,کلاس خصوصی رایگان فوتبال برای همه,آموزش فوتبال با لئو سعید,43200,25000,660,/v/pssm2wg,37.87878787878788,2025,Qtr 1,February,5,25000,0,Medium Engagement,2
92,آهنگ جدید مهیار به نام پانامرا,Mahyar | مهیار,1440,200,211,/v/qip10n4,0.9478672985781992,2025,Qtr 1,March,6,200,0,Medium Engagement,2
94,آهنگ جدید مهیار به نام دروغه,Mahyar | مهیار,10080,67300,190,/v/xsz8004,354.2105263157895,2025,Qtr 1,February,28,67300,2,Low Engagement,4
95,اجرای زنده مهیار به نام بیشتر از همیشه,Mahyar | مهیار,40320,1500,70,/v/mdzg94f,21.428571428571427,2025,Qtr 1,February,7,1500,0,Medium Engagement,2
96,تیزر آهنگ مهیار به نام تو کشتی,Mahyar | مهیار,43200,785,83,/v/masn911,9.457831325301203,2025,Qtr 1,February,5,785,0,Medium Engagement,2
97,معرفی مهمان قسمت پنجم،علی فروتن,پادکست بلوط سرخ,8640,128,116,/v/xsds9of,1.103448275862069,2025,Qtr 1,March,1,128,0,Medium Engagement,2
98,قسمت چهارم- محمدرضا قلمبر، تخیل، خیال بافی و خلاقیت,پادکست بلوط سرخ,10080,80,5106,/v/ctmmr1m,0.0156678417547982,2025,Qtr 1,February,28,80,0,Medium Engagement,2
99,خلاصه ای از گپ و گفت با محمدرضا قلمبر,پادکست بلوط سرخ,10080,370,212,/v/sfu4ebz,1.7452830188679245,2025,Qtr 1,February,28,370,0,Medium Engagement,2
100,معرفی مهمان قسمت چهارم، محمدرضا قلمبر,پادکست بلوط سرخ,10080,115,95,/v/rbq529q,1.2105263157894737,2025,Qtr 1,February,28,115,0,Medium Engagement,2
101,قسمت سوم- سعید اسلامی بیدگلی، دکترای مالی، انیمیشن و ترس از تنهایی,پادکست بلوط سرخ,10080,455,4304,/v/bep3s00,0.1057156133828996,2025,Qtr 1,February,28,455,0,Medium Engagement,2
102,آموزش فعالسازی فشار خون ، نوار قلب و آپنه خواب گلکسی واچ های سامسونگ (ورژن جدید),تستر موبایل,10080,101,1134,/v/ofl447n,0.0890652557319224,2025,Qtr 1,February,28,101,0,Medium Engagement,2
103,بررسی گوشی سامسونگ گلکسی ای ۱۶ | Samsung Galaxy A16,تستر موبایل,20160,883,975,/v/lmex109,0.9056410256410256,2025,Qtr 1,February,21,883,0,Medium Engagement,2
